method,n,size,repeats,mmae,std,prec,rec,f1,acc
pearson,83,100,10,3.590685373361071,0.2081391558633504,0.5555555555555556,0.12295081967213115,0.20134228187919465,0.762
pearson,73,100,10,3.7176500668961032,0.3172881638203923,0.6724137931034483,0.14444444444444443,0.23780487804878045,0.75
pearson,16,100,10,3.680849712633409,0.33260841237495326,0.4954128440366973,0.2109375,0.2958904109589041,0.743
pearson,95,100,10,3.7671473438361867,0.2082915657727951,0.6323529411764706,0.14576271186440679,0.2369146005509642,0.723
pearson,65,100,10,3.5949712288405067,0.21864235982285893,0.56,0.15498154981549817,0.24277456647398846,0.738
pearson,49,100,10,3.685047832630238,0.21352483830394983,0.5571428571428572,0.15354330708661418,0.24074074074074076,0.754
pearson,31,100,10,3.6053450114066967,0.28207331063259083,0.6794871794871795,0.20784313725490197,0.31831831831831836,0.773
pearson,42,100,10,3.6712953253010383,0.3387421494529122,0.5652173913043478,0.14942528735632185,0.23636363636363636,0.748
pearson,27,100,10,3.6627591084084274,0.2129208879094385,0.5454545454545454,0.1875,0.27906976744186046,0.752
pearson,54,100,10,3.713284897771988,0.24389891282486703,0.5411764705882353,0.1803921568627451,0.27058823529411763,0.752
pearson,88,100,10,3.6561029531919558,0.27000578449861745,0.6458333333333334,0.11397058823529412,0.19374999999999998,0.742
pearson,78,100,10,3.56168014157898,0.2103250769522689,0.625,0.15625,0.25,0.76
pearson,4,100,10,4.090315337660611,0.2411531411121523,0.5,0.30120481927710846,0.3759398496240602,0.751
pearson,53,100,10,3.8311229628138976,0.2797930085782077,0.5797101449275363,0.15873015873015872,0.24922118380062303,0.759
pearson,20,100,10,3.7239846232164133,0.33845944816397633,0.6060606060606061,0.21818181818181817,0.32085561497326204,0.746
pearson,45,100,10,3.7264682762751193,0.27903964275397986,0.5423728813559322,0.12167300380228137,0.19875776397515527,0.742
pearson,36,100,10,3.6304880833057984,0.32241361268229085,0.5698924731182796,0.20703125,0.3037249283667622,0.757
pearson,69,100,10,3.5861635210569167,0.22618101045258296,0.5671641791044776,0.15510204081632653,0.24358974358974358,0.764
pearson,99,100,10,3.693288997815779,0.1802431599312458,0.574468085106383,0.1111111111111111,0.18620689655172415,0.764
pearson,3,100,10,4.118072368427278,0.26006256865897626,0.4134078212290503,0.31759656652360513,0.3592233009708738,0.736
pearson,8,100,10,3.5698565531783886,0.32210462845527166,0.5460992907801419,0.30196078431372547,0.38888888888888884,0.758
pearson,62,100,10,3.6266538033299662,0.16654084026541,0.6338028169014085,0.17045454545454544,0.26865671641791045,0.755
pearson,92,100,10,3.6859882916000095,0.2804211313315615,0.5555555555555556,0.14344262295081966,0.2280130293159609,0.763
pearson,11,100,10,3.6500711515533153,0.1600084881532384,0.47572815533980584,0.1814814814814815,0.26273458445040215,0.725
pearson,74,100,10,3.8048322870697326,0.2988511696807964,0.55,0.1213235294117647,0.19879518072289154,0.734
pearson,84,100,10,3.565173407433602,0.2054662420688186,0.5846153846153846,0.15447154471544716,0.24437299035369778,0.765
pearson,58,100,10,3.473640492101482,0.22961231458223474,0.6231884057971014,0.15808823529411764,0.25219941348973607,0.745
pearson,97,100,10,3.591928443666869,0.20861286100807613,0.6981132075471698,0.15611814345991562,0.25517241379310346,0.784
pearson,14,100,10,3.6025662379206755,0.40583976091444135,0.5463917525773195,0.20075757575757575,0.2936288088642659,0.745
pearson,67,100,10,3.573509588732256,0.09787033156561362,0.6296296296296297,0.136,0.2236842105263158,0.764
pearson,81,100,10,3.671463662288555,0.2641416394277782,0.6,0.11538461538461539,0.1935483870967742,0.775
pearson,71,100,10,3.7194146542008197,0.17603240010411372,0.6346153846153846,0.13692946058091288,0.22525597269624578,0.773
pearson,38,100,10,3.785212642289489,0.2337624974231519,0.6507936507936508,0.15185185185185185,0.24624624624624625,0.749
pearson,6,100,10,3.6803955042534655,0.23269188441615005,0.539568345323741,0.2819548872180451,0.3703703703703704,0.745
pearson,25,100,10,3.5883423082549526,0.22278453918098756,0.6811594202898551,0.17537313432835822,0.2789317507418398,0.757
pearson,56,100,10,3.7697419608606744,0.24163269642226784,0.5434782608695652,0.08896797153024912,0.1529051987767584,0.723
pearson,33,100,10,3.60937078444262,0.24619536928502256,0.573170731707317,0.17870722433460076,0.27246376811594203,0.749
pearson,40,100,10,3.4695175220207126,0.33835873920150544,0.6103896103896104,0.1709090909090909,0.26704545454545453,0.742
pearson,1,100,10,4.983759999999999,0.36354866854384127,0.3412969283276451,0.4032258064516129,0.36968576709796674,0.659
pearson,47,100,10,3.5776099818277487,0.3065821881383741,0.47058823529411764,0.1350210970464135,0.20983606557377046,0.759
pearson,34,100,10,3.8538490688192963,0.2937053445083928,0.5679012345679012,0.18110236220472442,0.2746268656716418,0.757
pearson,51,100,10,3.5933034499344934,0.3427712448189615,0.6875,0.19927536231884058,0.3089887640449438,0.754
pearson,22,100,10,3.6813220656389873,0.33216397185125557,0.6415094339622641,0.2537313432835821,0.36363636363636365,0.762
pearson,18,100,10,3.6006516625719605,0.16508127379020196,0.5306122448979592,0.20155038759689922,0.29213483146067415,0.748
pearson,76,100,10,3.600355542498916,0.30097252318538487,0.6346153846153846,0.12595419847328243,0.21019108280254778,0.752
pearson,86,100,10,3.6143025253719023,0.15264609809196483,0.58,0.1111111111111111,0.18649517684887462,0.747
pearson,60,100,10,3.515949572686112,0.292565639654055,0.5862068965517241,0.136,0.2207792207792208,0.76
pearson,13,100,10,3.672928353889483,0.22157771073320484,0.5227272727272727,0.1885245901639344,0.27710843373493976,0.76
pearson,90,100,10,3.505553525520044,0.28957264648684644,0.5892857142857143,0.12313432835820895,0.20370370370370372,0.742
pearson,29,100,10,3.6020744740910757,0.32830930687399285,0.45263157894736844,0.16412213740458015,0.2408963585434174,0.729
pearson,19,100,10,3.711665008991903,0.20411337173364769,0.6588235294117647,0.21875,0.3284457478005865,0.771
pearson,46,100,10,3.5929848419270365,0.35535385749217385,0.6119402985074627,0.13993174061433447,0.22777777777777777,0.722
pearson,35,100,10,3.7480130302828214,0.19034535600823854,0.578125,0.13653136531365315,0.2208955223880597,0.739
pearson,50,100,10,3.5926597453764897,0.2712074199719936,0.5606060606060606,0.15546218487394958,0.24342105263157893,0.77
pearson,23,100,10,3.711958636556838,0.16932662805925702,0.5727272727272728,0.23507462686567165,0.33333333333333337,0.748
pearson,28,100,10,3.6726108620798725,0.17594722031285923,0.6122448979591837,0.24,0.3448275862068965,0.772
pearson,77,100,10,3.7029085759203277,0.1683259258611673,0.6621621621621622,0.196,0.30246913580246915,0.774
pearson,87,100,10,3.592956097081559,0.19429212021340997,0.7058823529411765,0.18250950570342206,0.2900302114803625,0.765
pearson,61,100,10,3.7208931874086253,0.2487190513641823,0.5862068965517241,0.125,0.20606060606060606,0.738
pearson,12,100,10,3.77011756135765,0.15702512054686235,0.4576271186440678,0.24545454545454545,0.31952662721893493,0.77
pearson,91,100,10,3.6220447788331875,0.30603547480472126,0.47692307692307695,0.12350597609561753,0.19620253164556964,0.746
pearson,39,100,10,3.674499097695469,0.2852369133207686,0.6119402985074627,0.17672413793103448,0.27424749163879597,0.783
pearson,96,100,10,3.5533903700096503,0.2582411356935191,0.640625,0.1443661971830986,0.23563218390804597,0.734
pearson,15,100,10,3.781505287884966,0.29868443272409007,0.5196078431372549,0.2245762711864407,0.31360946745562135,0.768
pearson,66,100,10,3.619153160562506,0.30579457719313746,0.5857142857142857,0.155893536121673,0.24624624624624625,0.749
pearson,80,100,10,3.666869144751044,0.22420604012805934,0.6086956521739131,0.1728395061728395,0.2692307692307692,0.772
pearson,70,100,10,3.583544584055693,0.27280696893221174,0.5636363636363636,0.11654135338345864,0.19314641744548286,0.741
pearson,24,100,10,3.665749077777094,0.3088914688151173,0.5531914893617021,0.19047619047619047,0.2833787465940054,0.737
pearson,57,100,10,3.5993639874287893,0.2628370420214055,0.5352112676056338,0.15019762845849802,0.2345679012345679,0.752
pearson,32,100,10,3.6742480823000703,0.19318912988367443,0.525,0.17073170731707318,0.25766871165644173,0.758
pearson,41,100,10,3.7075685848838362,0.27927115569073885,0.5909090909090909,0.1407942238267148,0.2274052478134111,0.735
pearson,7,100,10,3.906105052257943,0.2205248401859272,0.4881889763779528,0.23574144486692014,0.31794871794871793,0.734
pearson,2,100,10,4.097346417225053,0.34049419172924317,0.40772532188841204,0.38,0.39337474120082816,0.707
pearson,68,100,10,3.56373654216384,0.21096295893485387,0.6285714285714286,0.1746031746031746,0.27329192546583847,0.766
pearson,98,100,10,3.722276279340457,0.209327066159899,0.5909090909090909,0.10441767068273092,0.17747440273037543,0.759
pearson,52,100,10,3.6113855826268932,0.22003129079696176,0.5,0.14644351464435146,0.22653721682847897,0.761
pearson,21,100,10,3.544789845334132,0.3307454710306287,0.7159090909090909,0.23863636363636365,0.35795454545454547,0.774
pearson,44,100,10,3.548829375576954,0.32557374295940333,0.5697674418604651,0.19066147859922178,0.2857142857142857,0.755
pearson,37,100,10,3.576778782764631,0.3153972532611435,0.6506024096385542,0.20689655172413793,0.313953488372093,0.764
pearson,59,100,10,3.610154246917072,0.16909415304027808,0.5757575757575758,0.14022140221402213,0.22551928783382788,0.739
pearson,63,100,10,3.6697980734185682,0.20190660912022595,0.6290322580645161,0.15,0.24223602484472045,0.756
pearson,93,100,10,3.6547009980113274,0.1954207157254133,0.6271186440677966,0.15879828326180256,0.2534246575342466,0.782
pearson,10,100,10,3.8405293436146217,0.2312286986998537,0.5263157894736842,0.23076923076923078,0.32085561497326204,0.746
pearson,75,100,10,3.632293281571262,0.2721884926898863,0.6666666666666666,0.15441176470588236,0.2507462686567164,0.749
pearson,85,100,10,3.686835361945326,0.2564353421358643,0.5964912280701754,0.12099644128113879,0.20118343195266272,0.73
pearson,100,100,10,3.4572062060452886,0.2361953020849621,0.8103448275862069,0.1709090909090909,0.2822822822822823,0.761
pearson,9,100,10,3.7640351769396974,0.36737753906000964,0.5390625,0.28870292887029286,0.37602179836512256,0.771
pearson,48,100,10,3.7248946981706865,0.27609271844770206,0.6461538461538462,0.15613382899628253,0.251497005988024,0.75
pearson,82,100,10,3.685133627608014,0.29805125349097056,0.5964912280701754,0.13333333333333333,0.21794871794871795,0.756
pearson,72,100,10,3.6477711979773644,0.2535519129972364,0.6229508196721312,0.14615384615384616,0.2367601246105919,0.755
pearson,17,100,10,3.735467036259012,0.23696763073920868,0.5148514851485149,0.20233463035019456,0.2905027932960894,0.746
pearson,94,100,10,3.664656922284577,0.34202156176479387,0.5208333333333334,0.10330578512396695,0.1724137931034483,0.76
pearson,64,100,10,3.7316931953214976,0.2743208548957769,0.5352112676056338,0.1391941391941392,0.22093023255813957,0.732
pearson,5,100,10,3.993691394838783,0.2260781695758698,0.48299319727891155,0.26296296296296295,0.3405275779376499,0.725
pearson,89,100,10,3.6425694022495927,0.24583227957750156,0.5932203389830508,0.12544802867383512,0.20710059171597633,0.732
pearson,79,100,10,3.629609860339471,0.20097042129877463,0.5882352941176471,0.15873015873015872,0.25,0.76
pearson,30,100,10,3.760407576189138,0.23061801470206325,0.6931818181818182,0.22676579925650558,0.34173669467787116,0.765
pearson,43,100,10,3.638249765481343,0.15907386911890029,0.55,0.16793893129770993,0.2573099415204678,0.746
pearson,26,100,10,3.7274006625019447,0.36345211911552866,0.6,0.19672131147540983,0.2962962962962963,0.772
pearson,55,100,10,3.5015340422454515,0.2039186616082262,0.6,0.11811023622047244,0.19736842105263158,0.756
